Owner,n_plants,total_capacity_ttpa,mean_capacity_ttpa,max_capacity_ttpa,n_countries,n_regions,mean_plant_age,mean_nearest_exposure_usd,mean_local_exposure_usd,max_local_exposure_usd,capacity_weighted_exposure_usd,countries,centroid_lat,centroid_lon,largest_plant,largest_plant_lat,largest_plant_lon,largest_plant_ttpa,rep_lat,rep_lon,rep_source
Nippon Steel Corp,10,44423.0,5552.875,10001.0,1,1,79.346,13035898661.493433,257528786379.0857,1460925597281.7454,319517129600.1745,Japan,35.35515368114211,135.3228946901898,Nippon East Japan Works (Kimitsu) steel plant,35.360912,139.881953,10001.0,35.360912,139.881953,largest plant
Angang Steel Co Ltd,3,30250.0,10083.333333333334,20650.0,1,1,22.006666666666664,17992253793.146187,74041047571.84369,177246047307.24884,128072046899.5572,China,41.000325847048245,121.8320735115647,Angang Steel Co Ltd,41.148267,122.983054,20650.0,41.148267,122.983054,largest plant
JFE Steel Corp,5,28768.0,7192.0,13002.0,1,1,62.49400000000001,78559959627.55774,890055524489.1858,3249420497681.8906,206868809109.7699,Japan,35.70407961888031,137.5557365364583,JFE West Japan Works (Fukuyama) steel plant,34.465222,133.431205,13002.0,34.465222,133.431205,largest plant
JSW Steel Ltd,5,28359.0,7089.75,11899.0,1,1,28.25,390503654.86848414,4461305434.650757,8198798360.952456,4412760509.52387,India,17.560645749801473,78.29256965382291,JSW Steel Vijayanagar steel plant,15.180423,76.663134,11899.0,15.180423,76.663134,largest plant
Tata Steel Ltd,5,25710.0,6427.5,11000.0,1,1,49.5,1952889413.1808407,15876852892.778143,22259605542.9267,13955362893.056187,India,23.7078079282903,84.03465673104749,Tata Steel Jamshedpur steel plant,22.788598,86.1996,11000.0,22.788598,86.1996,largest plant
Steel Authority of India Ltd,8,21350.0,3558.3333333333335,6999.0,1,1,70.68833333333333,3249196970.62921,23408073014.266884,61839620752.38252,24605050712.24434,India,22.69369291945575,85.70987538814069,SAIL Bhilai steel plant,21.185157,81.394207,6999.0,21.185157,81.394207,largest plant
Baoshan Iron & Steel Co Ltd,1,19800.0,19800.0,19800.0,1,1,49.0,72345769161.90762,1390784081982.4404,1390784081982.4404,1390784081982.4404,China,31.416229999999995,121.44008700000002,Baoshan Iron and Steel Co Ltd Headquarters,31.41623,121.440087,19800.0,31.41623,121.440087,largest plant
Maanshan Iron & Steel Co Ltd,1,17340.0,17340.0,17340.0,1,1,73.0,14161932205.740225,67473115662.355225,67473115662.355225,67473115662.35522,China,31.698884000000003,118.468194,Maanshan Iron and Steel Co Ltd,31.698884,118.468194,17340.0,31.698884,118.468194,largest plant
Jiangsu Shagang Iron & Steel Co Ltd,1,17305.0,17305.0,17305.0,1,1,23.6,5778523153.580064,157366677006.8745,157366677006.8745,157366677006.8745,China,31.983146000000005,120.63899200000002,Jiangsu Shagang Iron & Steel Co Ltd,31.983146,120.638992,17305.0,31.983146,120.638992,largest plant
Inner Mongolia BaoTou Steel Union Co Ltd,1,16760.0,16760.0,16760.0,1,1,26.64,563557793.4713724,145202593779.9198,145202593779.9198,145202593779.9198,China,40.647997,109.740898,Inner Mongolia BaoTou Steel Union Co Ltd,40.647997,109.740898,16760.0,40.647997,109.740898,largest plant
Hunan Valin Lianyuan Iron and Steel Co Ltd,2,16250.0,8125.0,9000.0,1,1,68.0,4608518568.66061,59052718337.73063,104565786450.4516,54151311002.514534,China,27.781734179312004,112.43221815561266,Hunan Valin Lianyuan Iron and Steel Co Ltd,27.747782,111.967343,9000.0,27.747782,111.967343,largest plant
Wuhan Iron and Steel Co Ltd,1,15907.0,15907.0,15907.0,1,1,67.44,13274108766.720098,792587500359.3319,792587500359.3319,792587500359.3319,China,30.616221999999993,114.444975,Wuhan Iron and Steel Co Ltd,30.616222,114.444975,15907.0,30.616222,114.444975,largest plant
Baosteel Zhanjiang Iron & Steel Co Ltd,1,14328.0,14328.0,14328.0,1,1,15.0,1178377706.3453572,17735392319.65234,17735392319.65234,17735392319.65234,China,21.056035000000005,110.48657,Baosteel Zhanjiang Iron and Steel Co Ltd,21.056035,110.48657,14328.0,21.056035,110.48657,largest plant
Shougang Jingtang United Iron & Steel Co Ltd,1,13700.0,13700.0,13700.0,1,1,21.0,102371633.8710309,409257805.6214824,409257805.6214824,409257805.6214824,China,38.953663999999996,118.50339,Shougang Jingtang United Iron and Steel Co Ltd,38.953664,118.50339,13700.0,38.953664,118.50339,largest plant
Bengang Steel Plates Co Ltd,1,13440.0,13440.0,13440.0,1,1,28.65,10302505895.931911,41341080042.015594,41341080042.015594,41341080042.015594,China,41.27413200000001,123.722099,Bengang Steel Plates Co Ltd,41.274132,123.722099,13440.0,41.274132,123.722099,largest plant
Shanxi Taigang Stainless Steel Co Ltd,1,12460.0,12460.0,12460.0,1,1,27.69,24668432523.352684,350657524309.16284,350657524309.16284,350657524309.16284,China,37.931488,112.53932100000002,Shanxi Taigang Stainless Steel Co Ltd,37.931488,112.539321,12460.0,37.931488,112.539321,largest plant
Rizhao Steel Holding Group Co Ltd,1,11300.0,11300.0,11300.0,1,1,22.77,784949051.4879102,17666682118.644394,17666682118.644394,17666682118.644394,China,35.16535,119.366672,Rizhao Steel Holding Group Co Ltd,35.16535,119.366672,11300.0,35.16535,119.366672,largest plant
Xinyu Iron & Steel Corp Ltd,1,11001.0,11001.0,11001.0,1,1,68.0,7022275672.93845,15455467882.228136,15455467882.228136,15455467882.228136,China,27.786859000000003,114.921595,Xinyu Iron and Steel Group Co Ltd,27.786859,114.921595,11001.0,27.786859,114.921595,largest plant
Hebei Donghai SPECIAL Steel Group Co Ltd,1,10001.0,10001.0,10001.0,1,1,17.0,1222250055.6719754,75657011830.70213,75657011830.70213,75657011830.70213,China,39.610605,118.474722,Hebei Donghai Special Steel Co Ltd,39.610605,118.474722,10001.0,39.610605,118.474722,largest plant
Nanjing Iron & Steel Co Ltd,1,10000.0,10000.0,10000.0,1,1,68.0,11508667093.45597,555278339183.4592,555278339183.4592,555278339183.4592,China,32.200797,118.746315,Nanjing Iron and Steel Co Ltd,32.200797,118.746315,10000.0,32.200797,118.746315,largest plant
Hebei Yanshan Iron and Steel Group Co Ltd,1,9990.0,9990.0,9990.0,1,1,24.0,4245679723.9297485,30114152964.391434,30114152964.391434,30114152964.391434,China,39.925508,118.672757,Hebei Yanshan Iron and Steel Group Co Ltd,39.925508,118.672757,9990.0,39.925508,118.672757,largest plant
Guangxi Shenglong Metallurgical Co Ltd,1,9783.0,9783.0,9783.0,1,1,23.0,954514098.9683073,3098704254.237641,3098704254.237641,3098704254.237641,China,21.687637000000002,108.412344,Guangxi Shenglong Metallurgical Co Ltd,21.687637,108.412344,9783.0,21.687637,108.412344,largest plant
Jindal Steel Limited Ltd,5,9600.0,4800.0,6000.0,1,1,25.0,374314226.8259558,7117483337.8468275,17502840108.21367,6360486113.389303,India,20.98547247701317,84.19386131039222,Jindal Steel Angul steel plant,20.884896,84.991539,6000.0,20.884896,84.991539,largest plant
ArcelorMittal Nippon Steel India Ltd,5,9600.0,9600.0,9600.0,1,1,31.0,1028284804.7500484,6416880978.998736,19900243936.643406,19900243936.643406,India,20.01008551102846,81.67559292360495,ArcelorMittal Nippon Steel Hazira plant,21.112377,72.647304,9600.0,21.112377,72.647304,largest plant
Liuzhou IRON&STEEL Co Ltd,1,9458.0,9458.0,9458.0,1,1,26.0,21236255107.045433,104398367841.42648,104398367841.42648,104398367841.42648,China,24.385304,109.37963,Liuzhou Iron and Steel Co Ltd Liuzhou Base,24.385304,109.37963,9458.0,24.385304,109.37963,largest plant
SGIS Songshan Co Ltd,1,8698.0,8698.0,8698.0,1,1,29.0,2904267538.2436757,29190692279.23758,29190692279.23758,29190692279.23758,China,24.708232,113.635898,Guangdong Zhongnan Iron & Steel Co Ltd,24.708232,113.635898,8698.0,24.708232,113.635898,largest plant
Shandong IRON&STEEL Group Rizhao Co Ltd,1,8500.0,8500.0,8500.0,1,1,17.0,784949051.4879102,17666682118.644394,17666682118.644394,17666682118.644394,China,35.188969,119.38372300000002,Shandong Iron and Steel Group Rizhao Co Ltd,35.188969,119.383723,8500.0,35.188969,119.383723,largest plant
Chongqing Iron & Steel Co Ltd,1,8400.0,8400.0,8400.0,1,1,29.0,3087923383.6047015,10693419120.529099,10693419120.529099,10693419120.529099,China,29.790253,107.040368,Chongqing Iron and Steel Co Ltd,29.790253,107.040368,8400.0,29.790253,107.040368,largest plant
Guangxi Iron and Steel Group Co Ltd,1,8400.0,8400.0,8400.0,1,1,6.0,226557645.65927386,2703849417.2216682,2703849417.2216682,2703849417.2216682,China,21.580723,108.400896,Guangxi Iron and Steel Group Co Ltd Fangchenggang Iron & Steel Base,21.580723,108.400896,8400.0,21.580723,108.400896,largest plant
Beijing Shougang Co Ltd,1,8300.0,8300.0,8300.0,1,1,24.0,1205952791.2560177,24484405433.029182,24484405433.029182,24484405433.029182,China,39.97670200000001,118.55878800000002,Shougang Qian an Iron and Steel Co Ltd,39.976702,118.558788,8300.0,39.976702,118.558788,largest plant
Lianfeng Steel (Zhangjiagang) Co Ltd,1,8240.0,8240.0,8240.0,1,1,23.65,3289812339.6058364,175228176979.22415,175228176979.22415,175228176979.22415,China,31.855204999999998,120.73050500000001,Lianfeng Steel Zhangjiagang Co Ltd,31.855205,120.730505,8240.0,31.855205,120.730505,largest plant
Chengde Street Ltd,1,8000.0,8000.0,8000.0,1,1,72.0,896245650.7992102,16077296505.116661,16077296505.116661,16077296505.116661,China,40.947707,117.719747,Chengde Iron and Steel Group Co Ltd,40.947707,117.719747,8000.0,40.947707,117.719747,largest plant
Hebei Zongheng Group Fengnan Iron & Steel Co Ltd,1,7700.0,7700.0,7700.0,1,1,7.0,452880777.8970651,7927572715.797209,7927572715.797209,7927572715.797209,China,39.22256599999999,118.094201,Hebei Zongheng Group Fengnan Iron and Steel Co Ltd,39.222566,118.094201,7700.0,39.222566,118.094201,largest plant
Gansu Jiu Steel Group Hongxing Iron and Steel Co Ltd,1,7650.0,7650.0,7650.0,1,1,27.0,7871975322.062651,18033979039.417233,18033979039.417233,18033979039.417233,China,39.812121,98.295555,Gansu Jiu Steel Group Hongxing Iron and Steel Co Ltd,39.812121,98.295555,7650.0,39.812121,98.295555,largest plant
Shanghai Meishan Iron & Steel Co Ltd,1,7600.0,7600.0,7600.0,1,1,57.0,3051454698.510215,433566185514.9951,433566185514.9951,433566185514.9951,China,31.902969000000002,118.61667000000001,Shanghai Meishan Iron and Steel Co Ltd,31.902969,118.61667,7600.0,31.902969,118.61667,largest plant
Cangzhou China Railway Equipment Manufacturing Materials Co Ltd,1,7500.0,7500.0,7500.0,1,1,20.0,477468708.0493724,5678661164.6290045,5678661164.6290045,5678661164.6290045,China,38.289221,117.81436700000002,Cangzhou China Railway Equipment Manufacture Material Co Ltd,38.289221,117.814367,7500.0,38.289221,117.814367,largest plant
HBIS Laoting Steel Co Ltd,1,7450.0,7450.0,7450.0,1,1,6.0,658638310.9064554,4478050340.044113,4478050340.044113,4478050340.044113,China,39.25782300000001,119.033567,Hbis Laoting Steel Co Ltd,39.257823,119.033567,7450.0,39.257823,119.033567,largest plant
Rashtriya Ispat Nigam Ltd,1,7300.0,7300.0,7300.0,1,1,37.0,4255549611.1018696,27847472746.96944,27847472746.96944,27847472746.96944,India,17.612846000000005,83.191918,RINL Vizag Steel plant,17.612846,83.191918,7300.0,17.612846,83.191918,largest plant
Baosteel Group Xinjiang Bayi Iron & Steel Co Ltd,1,7300.0,7300.0,7300.0,1,1,30.34,931469524.817334,166883618017.15344,166883618017.15344,166883618017.15347,China,43.852147,87.304639,Baosteel Group Xinjiang Bayi Iron and Steel Co Ltd,43.852147,87.304639,7300.0,43.852147,87.304639,largest plant
